src,dst,wgh
TN,RO,675.0
IK,NP,173.0
B,WX,701.0
MF,MU,822.0
SC,WC,778.0
PX,BO,479.0
PR,IR,457.0
RZ,KQ,496.0
GW,GR,799.0
VM,PE,746.0
KJ,LF,26.0
QG,UN,70.0
AV,HH,245.0
QJ,BY,480.0
IF,NV,485.0
KI,CO,561.0
LV,U,468.0
BC,WH,665.0
XN,PP,426.0
AW,AK,402.0
FH,UC,940.0
GW,UD,642.0
SE,JM,270.0
FL,YR,881.0
ZO,QA,635.0
GT,IR,604.0
LB,RY,394.0
ML,ET,153.0
OQ,ZH,117.0
PY,JH,69.0
QD,WN,195.0
SG,LG,549.0
FD,Z,287.0
IS,HI,58.0
TT,IM,740.0
IX,UO,690.0
IQ,EN,561.0
ON,NV,644.0
MN,GN,221.0
C,AP,152.0
DP,XC,657.0
SD,U,931.0
MH,NQ,509.0
OK,CJ,766.0
OP,PP,16.0
UH,LR,465.0
FB,LR,518.0
UF,IW,552.0
YC,KW,504.0
O,AZ,538.0
BD,BA,860.0
BI,OG,43.0
NE,UD,522.0
QR,YR,157.0
SB,LM,377.0
UJ,NL,264.0
DJ,AE,242.0
JG,JM,349.0
PB,PZ,675.0
BV,XH,391.0
TY,HI,5.0
RY,AA,256.0
WL,WN,45.0
XV,JI,357.0
HA,JH,53.0
HF,WN,85.0
U,HI,986.0
SS,ZC,493.0
QN,EO,448.0
BX,ZB,77.0
YI,SJ,204.0
DW,XS,363.0
QH,LR,786.0
TZ,AL,254.0
HM,JR,116.0
JB,JS,157.0
JG,WY,664.0
HR,WX,476.0
YM,WY,169.0
MO,OG,137.0
OR,CZ,624.0
BQ,XN,651.0
DT,MG,847.0
SO,EZ,15.0
L,CZ,441.0
RE,SE,370.0
WB,JN,423.0
OV,HO,909.0
QT,MB,852.0
BS,ZH,123.0
UQ,OB,993.0
WT,CU,913.0
JS,XI,528.0
XY,FJ,495.0
NI,JH,389.0
CK,SO,674.0
UN,CP,395.0
HM,XD,345.0
JP,LW,991.0
OM,DF,942.0
CE,ZR,907.0
Z,FD,277.0
DT,ZS,78.0
QU,FE,711.0
PK,SJ,524.0
JJ,SZ,483.0
HJ,LR,617.0
JM,AK,111.0
CD,RA,126.0
AD,JS,251.0
FQ,VO,281.0
DQ,OG,38.0
DL,BA,339.0
WM,AF,983.0
PD,QV,458.0
X,QV,254.0
RL,SU,610.0
CA,FO,893.0
ST,CU,732.0
SY,QA,397.0
LS,OB,121.0
AU,XI,929.0
RF,ZX,634.0
PA,FJ,403.0
UX,OR,723.0
SX,HJ,409.0
JZ,XY,501.0
YS,NW,947.0
LH,HY,744.0
SM,BG,604.0
UU,DF,589.0
XC,FE,196.0
JW,MM,79.0
LL,MN,382.0
AL,SZ,82.0
RB,FU,82.0
TO,UZ,128.0
JT,BA,861.0
A,XN,593.0
CS,MH,763.0
PO,HN,445.0
CN,B,67.0
RI,UU,188.0
LX,MX,781.0
MA,XI,518.0
AE,RL,669.0
PS,MC,936.0
AM,MC,926.0
GE,IE,889.0
ZC,ZY,865.0
JW,ZY,821.0
BB,XY,193.0
NM,LX,989.0
GG,JY,721.0
NY,MH,993.0
CC,GK,935.0
VD,FP,137.0
KA,BQ,816.0
LP,BR,659.0
ZA,HP,959.0
OC,QW,258.0
GM,RL,182.0
TS,KD,445.0
GH,EF,654.0
XF,OR,734.0
RJ,N,590.0
AO,M,667.0
GJ,FZ,509.0
IR,HY,283.0
BI,YO,947.0
PT,TV,553.0
QB,OM,934.0
TQ,VV,864.0
VT,KO,665.0
MI,RB,80.0
GH,RR,738.0
VV,MI,744.0
B,PS,505.0
MC,YE,992.0
MF,FP,113.0
ER,IZ,408.0
XS,IE,468.0
IM,IE,942.0
ZH,IF,22.0
DG,NN,927.0
EY,XZ,397.0
RZ,DL,940.0
ET,KT,287.0
VM,HZ,600.0
QG,NI,326.0
OG,GA,629.0
AV,AC,276.0
DI,PH,46.0
XQ,TW,382.0
XT,BH,590.0
YY,DW,75.0
CX,JE,759.0
QI,PC,177.0
BC,PC,857.0
FK,YJ,26.0
GU,LE,951.0
ZV,KJ,499.0
KP,KJ,84.0
OX,TQ,877.0
MK,EL,583.0
VX,S,287.0
BJ,CG,78.0
HL,YU,305.0
FL,RM,291.0
VW,UB,83.0
TW,MT,534.0
HJ,VZ,897.0
IT,IU,600.0
TR,N,807.0
OQ,SC,500.0
MQ,KU,909.0
QW,RG,536.0
DA,EB,437.0
IS,AD,63.0
VY,VV,604.0
KV,RW,929.0
MN,I,583.0
FC,ND,168.0
EX,X,213.0
JK,WK,308.0
QP,PS,549.0
FR,YZ,411.0
UH,EM,122.0
XZ,WG,264.0
UF,BR,985.0
MW,SH,425.0
BI,HB,91.0
QM,EG,359.0
DL,YU,208.0
UO,TM,456.0
WM,XZ,646.0
MT,GV,870.0
U,AD,269.0
SS,RX,388.0
UC,ES,338.0
FP,GQ,819.0
LC,SM,46.0
OZ,UM,151.0
OU,HG,411.0
PC,BX,227.0
SP,GL,62.0
FE,AN,826.0
FJ,NT,523.0
NJ,LU,293.0
DT,FB,39.0
WB,CI,994.0
AI,CH,868.0
OY,KU,333.0
EA,UB,446.0
HS,IV,11.0
NF,UR,347.0
NI,CC,240.0
DZ,LK,202.0
LU,ZF,955.0
NJ,ZG,483.0
AG,NZ,81.0
PK,LE,417.0
DT,SN,977.0
VH,UM,66.0
JO,ZA,186.0
JJ,LU,335.0
AA,VC,597.0
PJ,CN,464.0
AD,CN,576.0
EL,LU,710.0
TB,UH,998.0
FQ,OJ,420.0
YT,QJ,388.0
QW,T,233.0
JN,QJ,329.0
ND,CI,501.0
SY,IV,740.0
IA,SC,526.0
NS,OE,720.0
PF,LK,430.0
EC,HL,1.0
EH,UR,260.0
VC,US,220.0
WZ,QO,933.0
EE,JF,705.0
UZ,JG,980.0
JW,FH,906.0
LL,FI,948.0
AQ,ZA,711.0
RG,LV,482.0
ED,AO,773.0
JV,ZQ,728.0
AK,DD,423.0
PO,AI,790.0
WY,GW,679.0
CR,ZL,339.0
TE,AU,49.0
GW,XG,693.0
IG,KB,41.0
GG,CT,505.0
ZE,UN,473.0
EQ,XB,163.0
TV,OK,422.0
DA,OJ,332.0
GS,DD,382.0
XL,AJ,977.0
H,QY,219.0
OC,JR,609.0
QA,OE,697.0
RK,AZ,432.0
EJ,VN,642.0
GR,XM,224.0
EM,CY,707.0
NW,QU,842.0
J,SS,350.0
E,FM,305.0
QE,ST,930.0
GL,BP,765.0
TM,KB,409.0
AT,FN,883.0
VZ,ZG,546.0
FB,OU,594.0
ZM,AU,287.0
BI,RJ,280.0
N,XH,777.0
VT,DJ,446.0
IS,XX,151.0
TT,ZB,330.0
ZG,HX,477.0
VR,AO,313.0
OI,RE,559.0
RY,DD,772.0
EX,XR,515.0
KX,OK,194.0
E,SY,228.0
GZ,DT,299.0
UF,ZL,680.0
HE,QZ,605.0
VK,A,59.0
IR,OF,791.0
GY,YC,68.0
EY,QU,319.0
ET,DO,287.0
KQ,MW,684.0
KO,KB,8.0
QL,TJ,485.0
WG,ZW,422.0
GQ,K,697.0
IF,L,259.0
ZT,BK,203.0
QI,HX,203.0
BC,HX,554.0
QN,VD,184.0
GU,DZ,811.0
WA,DZ,69.0
KH,IN,912.0
M,F,224.0
SF,DT,237.0
IW,NB,995.0
L,TO,528.0
BT,VN,864.0
DD,II,879.0
QJ,BA,654.0
VW,MW,535.0
WE,HN,332.0
LG,QU,198.0
QW,KB,490.0
SQ,XI,541.0
UL,RK,861.0
UG,EE,636.0
IX,GE,86.0
LA,XX,586.0
SA,DZ,758.0
BJ,IN,765.0
UK,HS,610.0
JH,DT,881.0
KW,DU,469.0
BY,UJ,51.0
Y,NB,408.0
NE,FT,746.0
QW,XN,182.0
QR,KH,969.0
SU,A,690.0
FT,TO,427.0
XW,DP,761.0
S,UE,142.0
PG,OV,113.0
DK,IY,772.0
CA,WD,974.0
SV,WE,996.0
UD,GE,243.0
JF,PL,210.0
LI,EE,77.0
BX,KR,578.0
SX,XY,88.0
HP,GT,796.0
YI,DZ,768.0
JC,DZ,786.0
LC,LH,257.0
DW,JI,153.0
RC,CA,65.0
UU,TU,183.0
NJ,EP,387.0
UW,VO,760.0
YO,KI,114.0
CN,PQ,912.0
OY,DP,702.0
BS,KX,419.0
HK,GZ,875.0
UQ,R,611.0
NF,NM,174.0
PN,PL,322.0
QX,CG,453.0
AH,PL,290.0
CH,WT,150.0
TA,TZ,67.0
UP,UA,373.0
WX,VZ,229.0
US,BL,601.0
ZA,KS,420.0
JU,KS,619.0
AG,GU,506.0
QZ,EA,174.0
IB,UP,818.0
VH,NH,268.0
AA,NX,865.0
AT,PV,30.0
NG,GP,615.0
SW,W,516.0
PI,PR,766.0
EF,LS,705.0
CK,RQ,489.0
EK,YY,340.0
HX,AM,486.0
XG,KX,674.0
NS,GZ,726.0
LS,R,170.0
CU,QG,987.0
RK,YT,12.0
VC,NN,190.0
YP,SB,4.0
LM,GU,94.0
AO,QB,925.0
NZ,VZ,117.0
CW,SA,323.0
RH,NH,430.0
GJ,WO,243.0
IR,YN,475.0
KG,YO,244.0
GK,PR,640.0
AZ,HU,180.0
XD,MX,62.0
ER,ZO,462.0
RX,SG,815.0
TH,FB,762.0
RS,FA,168.0
LZ,AH,343.0
PM,EV,731.0
EJ,AW,206.0
VM,YO,139.0
ZE,NI,48.0
ES,SR,810.0
EN,FL,623.0
PO,GP,57.0
N,CQ,87.0
AS,FF,763.0
RS,SM,696.0
TV,HF,351.0
EP,HF,824.0
VF,XA,490.0
VI,EL,875.0
M,WZ,526.0
QF,UF,527.0
RP,HA,830.0
TX,IZ,706.0
CT,FQ,596.0
DB,AH,746.0
VZ,SB,109.0
CV,HK,233.0
QB,AC,725.0
TT,RW,204.0
H,XF,79.0
GH,DH,370.0
KU,ZU,873.0
IP,FG,312.0
HF,SL,108.0
MC,JU,69.0
UH,VB,914.0
SC,AN,594.0
IR,HA,670.0
O,KJ,206.0
MZ,QH,327.0
QO,XQ,153.0
SU,WU,31.0
DJ,JO,367.0
UJ,WV,163.0
KQ,FR,187.0
ZU,CW,303.0
MT,XK,712.0
PB,ZJ,877.0
V,ZJ,887.0
MO,KE,136.0
KT,QC,51.0
DN,OD,686.0
XV,SS,477.0
GV,FL,443.0
KS,HL,955.0
BU,YA,968.0
FP,XF,507.0
WI,UL,68.0
KH,BI,547.0
ZS,OO,874.0
RC,ZU,391.0
BW,ZU,392.0
R,FG,815.0
DZ,ON,948.0
HM,TB,181.0
JB,TC,842.0
IW,FW,103.0
WH,LU,189.0
AG,RC,160.0
QZ,OI,203.0
WB,SX,729.0
ZT,HR,499.0
IY,HQ,276.0
WE,AI,209.0
OO,AX,991.0
UL,KF,846.0
WA,KG,202.0
DQ,KE,986.0
NA,YA,128.0
DU,OT,487.0
JK,IA,693.0
FR,KP,975.0
HG,KQ,914.0
IE,ZU,738.0
BY,NE,96.0
CG,HV,96.0
HD,E,319.0
WM,JP,124.0
LO,SW,817.0
DK,BT,601.0
HX,YG,154.0
EI,QX,992.0
SY,ZK,346.0
HV,VL,634.0
JK,VM,691.0
WQ,OE,502.0
JF,IG,939.0
VA,FM,121.0
WK,VH,815.0
YN,KA,858.0
JH,KA,930.0
AE,NJ,340.0
NP,TH,515.0
EE,ZU,824.0
FO,MP,917.0
LL,VX,611.0
HR,BI,841.0
HW,OO,503.0
ED,RD,943.0
UR,BD,228.0
JT,KK,239.0
LI,KL,814.0
JY,XQ,669.0
AK,TS,837.0
PQ,TS,876.0
DX,YG,495.0
TG,FR,492.0
HK,U,727.0
LX,WH,349.0
JX,OZ,201.0
LV,TM,201.0
NK,TN,463.0
FZ,EI,6.0
GC,OT,547.0
YZ,XW,111.0
WU,DI,838.0
JO,KQ,394.0
LW,MP,583.0
PL,TY,682.0
NZ,BI,441.0
RO,IR,340.0
RR,TC,849.0
TB,FX,478.0
XJ,PE,962.0
ID,PE,963.0
KL,RD,242.0
KG,DX,454.0
EF,EN,827.0
GS,TS,371.0
UY,BT,226.0
XL,QY,953.0
XG,DS,506.0
YV,DT,95.0
LP,LB,914.0
IA,DS,97.0
NX,NA,955.0
KE,PP,201.0
NR,UD,366.0
NU,BO,592.0
DB,YB,38.0
RH,GC,570.0
XE,PK,338.0
GJ,PJ,621.0
QB,XW,516.0
CQ,RY,24.0
VO,GS,753.0
UT,BZ,494.0
OL,PE,810.0
VV,VS,225.0
GK,IM,806.0
AZ,AP,309.0
OF,WH,615.0
MF,OZ,897.0
PP,JC,454.0
RX,LB,386.0
GZ,UI,464.0
EZ,NA,428.0
PR,KW,676.0
CL,SE,948.0
VO,UE,704.0
CO,P,108.0
HB,WC,879.0
RZ,MV,859.0
IL,IX,416.0
XP,GC,918.0
LT,AF,374.0
KJ,NK,306.0
BA,WS,179.0
DD,LL,774.0
UB,VX,243.0
KI,ET,536.0
