src,dst,wgh
CO,UJ,11.0
JS,IP,8.0
LF,OC,20.0
QA,YC,4.0
EF,UR,1.0
YM,HH,1.0
PW,YW,9.0
H,L,7.0
OG,UF,8.0
UK,FQ,18.0
CW,ZO,6.0
VE,JU,31.0
SB,TX,6.0
MX,GR,4.0
EQ,KM,7.0
PV,AA,7.0
QF,FH,10.0
OV,YS,3.0
GH,GA,4.0
ZJ,PB,19.0
QL,JN,8.0
CW,CR,9.0
EH,CO,4.0
IZ,RG,7.0
BE,AI,7.0
H,CV,14.0
CV,HR,14.0
PV,WU,8.0
CO,RH,4.0
MN,PT,1.0
YC,EL,7.0
VX,FF,17.0
AA,BZ,4.0
EK,KX,11.0
IK,QM,11.0
PE,TR,15.0
RE,C,1.0
LT,GF,6.0
BA,JP,1.0
SA,TB,1.0
AU,CF,4.0
IH,SJ,10.0
FE,VB,12.0
UR,LM,6.0
HH,WY,3.0
UU,DI,14.0
MX,FV,12.0
UV,ZK,28.0
KR,IX,10.0
VR,QJ,15.0
WL,SM,14.0
TX,DX,1.0
LV,DM,23.0
GR,TT,4.0
XO,OH,4.0
YV,K,10.0
OJ,PO,6.0
HQ,N,4.0
IA,NH,3.0
DU,ER,4.0
YX,GG,2.0
GL,G,1.0
A,Y,2.0
O,WK,6.0
CU,OP,9.0
LE,CB,5.0
QE,EX,16.0
UA,KS,8.0
PI,ES,12.0
IZ,GK,2.0
AW,JD,5.0
OG,PP,7.0
BN,BI,12.0
DT,MO,4.0
YN,MN,7.0
TA,UZ,4.0
RW,CS,9.0
EU,AZ,4.0
YK,B,12.0
HB,LP,6.0
XV,MH,4.0
XD,MX,4.0
HM,XF,6.0
GU,FJ,5.0
RF,RP,16.0
CP,KW,9.0
HA,MM,4.0
KC,XD,10.0
II,CK,10.0
HV,SW,4.0
XM,ET,3.0
GS,IL,14.0
I,FO,11.0
OR,KI,12.0
IR,AM,39.0
QE,JO,16.0
CO,DL,19.0
HB,EU,8.0
ZD,CJ,13.0
LV,EN,18.0
QL,EH,5.0
IS,VR,6.0
RM,OX,53.0
QM,LF,21.0
KM,AJ,14.0
OG,O,6.0
M,TY,14.0
JE,OE,1.0
EA,T,11.0
N,OI,20.0
LJ,PM,6.0
GD,RC,15.0
WP,OU,10.0
UB,GL,1.0
WC,PX,5.0
GF,RN,8.0
QY,XG,13.0
LB,CL,8.0
QV,ZT,6.0
SK,V,3.0
QI,RD,6.0
KC,GN,22.0
WF,YG,8.0
GS,QL,8.0
QL,GQ,4.0
ZZ,TQ,3.0
ZC,QW,6.0
GO,JZ,1.0
UV,MJ,28.0
SA,NA,9.0
BU,HO,4.0
HG,XX,8.0
BD,IA,5.0
LJ,YX,8.0
UR,HW,1.0
OE,QN,6.0
HG,UQ,5.0
NQ,DJ,2.0
QV,GS,1.0
QF,LX,17.0
QK,EZ,11.0
SR,ZL,22.0
FT,SE,26.0
HC,BQ,4.0
VY,MK,12.0
HG,YI,8.0
UR,RV,13.0
FB,YQ,3.0
PS,FG,10.0
QF,HU,11.0
BR,TA,13.0
HA,JB,14.0
EI,QD,19.0
PY,AH,10.0
GY,WE,21.0
IP,DY,7.0
MM,UO,1.0
PM,RI,17.0
ZP,GO,1.0
CZ,XN,6.0
TK,LS,12.0
HF,UT,12.0
PG,EM,12.0
ET,II,7.0
US,OL,4.0
WK,RT,6.0
JC,TE,16.0
TZ,AT,9.0
A,IK,17.0
GM,RU,18.0
RV,SQ,16.0
YP,ZX,2.0
VT,X,8.0
LO,UB,2.0
O,LC,13.0
OO,ZF,13.0
RV,SC,2.0
IR,BP,1.0
HM,CE,16.0
I,IN,3.0
EL,UG,11.0
FH,DF,6.0
DS,QK,11.0
AV,JI,19.0
FM,CX,3.0
QT,IG,6.0
JX,VW,3.0
LC,DG,5.0
LB,FD,4.0
BO,JW,16.0
IR,WL,18.0
AF,GV,7.0
N,PK,1.0
KU,DQ,3.0
ZM,RR,2.0
WO,LO,8.0
RO,NK,10.0
TM,DO,6.0
HT,WN,11.0
ID,ZY,22.0
KN,S,13.0
SU,UV,8.0
TZ,KF,4.0
GR,NX,16.0
DZ,RA,9.0
UJ,GE,8.0
RR,UN,3.0
CD,AC,7.0
BX,EW,2.0
PR,TW,22.0
WU,BO,2.0
IE,PW,5.0
GA,TC,2.0
NB,VZ,3.0
UX,EG,23.0
KA,RJ,25.0
YK,PU,13.0
UL,H,8.0
UD,DE,50.0
WP,D,13.0
BR,DW,9.0
KJ,TD,12.0
CV,YU,11.0
RO,GP,8.0
TI,LD,10.0
CX,IM,11.0
EY,ME,15.0
WM,VX,11.0
TO,AL,11.0
PG,MA,3.0
ZZ,OW,4.0
SF,CQ,12.0
CL,TK,14.0
HQ,XY,8.0
ZZ,FE,10.0
VZ,EA,1.0
GK,IY,9.0
CN,TS,27.0
IV,BM,13.0
WR,XV,2.0
WU,AG,6.0
NO,WI,3.0
DT,ED,10.0
WM,AQ,8.0
AU,XP,16.0
OQ,WJ,3.0
OK,SV,5.0
MR,NE,16.0
NX,LY,16.0
FE,LU,6.0
UP,BG,7.0
I,UE,9.0
UR,LE,19.0
BK,OZ,2.0
XN,YL,11.0
FZ,MC,4.0
XF,DA,1.0
ZW,XO,3.0
KG,NQ,14.0
XW,TZ,1.0
EX,UI,4.0
JS,RX,11.0
ON,Q,4.0
IL,XQ,21.0
YS,WA,13.0
CE,ZH,21.0
XV,IE,5.0
VV,PE,9.0
MC,LQ,2.0
YG,VA,5.0
KM,LT,3.0
DU,XJ,9.0
XN,TI,5.0
LH,FT,1.0
QS,DR,1.0
PT,GZ,1.0
PS,MZ,5.0
ZB,OY,9.0
UA,OA,1.0
PE,HX,4.0
QY,NI,17.0
NY,LR,5.0
DU,XW,10.0
AE,ZG,8.0
PJ,FW,2.0
U,DV,8.0
W,IH,8.0
RB,VC,13.0
EG,BB,6.0
KQ,ZU,17.0
HK,FX,8.0
AK,OO,3.0
TG,IC,15.0
HN,OV,7.0
EH,BF,10.0
PF,QF,4.0
KW,BE,8.0
DR,FP,16.0
NF,PY,2.0
NX,NR,5.0
YW,JG,6.0
YS,NW,9.0
LK,VI,11.0
GW,CC,5.0
XX,NP,4.0
JL,XB,20.0
MM,BL,10.0
LP,NT,9.0
LH,CW,3.0
RB,YZ,7.0
ZS,ZR,3.0
LE,QP,23.0
CW,WC,11.0
AI,DP,9.0
DR,KP,4.0
PO,FL,28.0
LX,FS,10.0
JS,CA,5.0
HX,JF,3.0
CC,RZ,3.0
OL,IJ,12.0
HP,VD,1.0
RH,FB,10.0
TX,YV,4.0
JS,AR,13.0
LO,ON,1.0
LU,OD,16.0
WM,RY,4.0
YY,SB,2.0
MF,EV,19.0
XM,MS,16.0
ZG,UC,12.0
