src,dst,wgh
YE,CZ,332.0
BF,KX,806.0
KX,BF,806.0
GH,PM,771.0
PM,GH,771.0
TS,VK,856.0
VK,TS,856.0
KX,TK,295.0
TK,KX,295.0
EW,UA,556.0
UA,EW,556.0
BH,MR,909.0
MR,BH,909.0
HE,VZ,692.0
VZ,HE,692.0
ER,GU,670.0
GU,ER,670.0
KM,NH,908.0
NH,KM,908.0
MB,NI,444.0
NI,MB,444.0
OJ,PH,110.0
PH,OJ,110.0
BD,WP,498.0
WP,BD,498.0
RW,TV,703.0
TV,RW,703.0
UE,VU,665.0
VU,UE,665.0
VT,VV,739.0
VV,VT,739.0
ET,IO,731.0
IO,ET,731.0
HB,KN,137.0
KN,HB,137.0
OL,RB,73.0
RB,OL,73.0
DI,NC,322.0
NC,DI,322.0
RY,VP,402.0
VP,RY,402.0
GV,RQ,326.0
RQ,GV,326.0
P,PR,187.0
PR,P,187.0
OF,YE,352.0
YE,OF,352.0
CX,GZ,487.0
GZ,CX,487.0
GZ,WF,4.0
WF,GZ,4.0
KH,NN,84.0
NN,KH,84.0
GX,TK,739.0
TK,GX,739.0
MP,PM,57.0
PM,MP,57.0
BR,YT,161.0
YT,BR,161.0
R,RL,634.0
RL,R,634.0
OX,RL,536.0
RL,OX,536.0
DE,VZ,294.0
VZ,DE,294.0
IW,SB,472.0
SB,IW,472.0
FH,KS,379.0
KS,FH,379.0
KJ,PH,655.0
PH,KJ,655.0
QG,YP,720.0
YP,QG,720.0
MR,RG,177.0
RG,MR,177.0
DD,NI,900.0
NI,DD,900.0
HL,WP,521.0
WP,HL,521.0
IY,TV,569.0
TV,IY,569.0
OQ,PX,839.0
PX,OQ,839.0
K,PX,42.0
PX,K,42.0
BN,EQ,480.0
EQ,BN,480.0
UL,WK,927.0
WK,UL,927.0
FF,WK,572.0
WK,FF,572.0
HN,YJ,177.0
YJ,HN,177.0
HI,LD,215.0
LD,HI,215.0
BM,YZ,119.0
YZ,BM,119.0
OS,RR,566.0
RR,OS,566.0
BP,GK,338.0
GK,BP,338.0
HC,SG,438.0
SG,HC,438.0
FC,KY,881.0
KY,FC,881.0
DR,PM,586.0
PM,DR,586.0
CG,UA,488.0
UA,CG,488.0
SR,WP,448.0
WP,SR,448.0
DL,WP,532.0
WP,DL,532.0
EV,JK,340.0
JK,EV,340.0
WO,YP,946.0
YP,WO,946.0
HD,LJ,52.0
LJ,HD,52.0
JL,NI,434.0
NI,JL,434.0
BV,NX,664.0
NX,BV,664.0
QV,TW,616.0
TW,QV,616.0
HF,ND,166.0
ND,HF,166.0
NC,WL,910.0
WL,NC,910.0
BZ,SM,801.0
SM,BZ,801.0
BS,CL,454.0
CL,BS,454.0
BX,PR,900.0
PR,BX,900.0
HP,LT,568.0
LT,HP,568.0
JH,WF,577.0
WF,JH,577.0
DW,OI,321.0
OI,DW,321.0
UU,YU,186.0
YU,UU,186.0
FJ,LO,588.0
LO,FJ,588.0
HR,NN,653.0
NN,HR,653.0
NM,UA,758.0
UA,NM,758.0
BQ,OD,157.0
OD,BQ,157.0
FN,QD,651.0
QD,FN,651.0
GG,SB,465.0
SB,GG,465.0
JT,WP,775.0
WP,JT,775.0
NQ,YP,681.0
YP,NQ,681.0
AF,SR,864.0
SR,AF,864.0
HK,LZ,447.0
LZ,HK,447.0
PN,UL,498.0
UL,PN,498.0
RC,UM,125.0
UM,RC,125.0
FZ,QN,704.0
QN,FZ,704.0
UP,ZA,845.0
ZA,UP,845.0
HM,NT,295.0
NT,HM,295.0
LU,XA,712.0
XA,LU,712.0
NJ,XB,955.0
XB,NJ,955.0
AG,LU,807.0
LU,AG,807.0
CE,QH,558.0
QH,CE,558.0
DT,QI,637.0
QI,DT,637.0
GB,SH,41.0
SH,GB,41.0
AA,SX,740.0
SX,AA,740.0
CI,UW,607.0
UW,CI,607.0
CD,HQ,205.0
HQ,CD,205.0
AD,AI,82.0
AI,AD,82.0
VB,ZK,938.0
ZK,VB,938.0
FV,ZK,717.0
ZK,FV,717.0
JN,OE,552.0
OE,JN,552.0
X,HL,671.0
HL,X,671.0
CK,WQ,604.0
WQ,CK,604.0
IA,PX,596.0
PX,IA,596.0
LP,XG,217.0
XG,LP,217.0
AU,NY,96.0
NY,AU,96.0
AP,AS,426.0
AS,AP,426.0
PK,WL,896.0
WL,PK,896.0
EH,SM,16.0
SM,EH,16.0
JZ,OO,917.0
OO,JZ,917.0
KC,YZ,790.0
YZ,KC,790.0
AO,VB,639.0
VB,AO,639.0
BY,HW,206.0
HW,BY,206.0
CW,XA,682.0
XA,CW,682.0
EL,XB,801.0
XB,EL,801.0
AJ,HV,491.0
HV,AJ,491.0
HT,OJ,218.0
OJ,HT,218.0
KB,QI,809.0
QI,KB,809.0
MJ,SH,159.0
SH,MJ,159.0
AN,MK,810.0
MK,AN,810.0
LO,NO,32.0
NO,LO,32.0
PW,WV,301.0
WV,PW,301.0
AL,JP,466.0
JP,AL,466.0
CL,QX,117.0
QX,CL,117.0
EI,LP,968.0
LP,EI,968.0
CP,VM,483.0
VM,CP,483.0
AP,OE,961.0
OE,AP,961.0
AK,AY,636.0
AY,AK,636.0
DX,FM,6.0
FM,DX,6.0
GK,UR,460.0
UR,GK,460.0
MA,NY,871.0
NY,MA,871.0
AJ,VH,537.0
VH,AJ,537.0
PP,VH,607.0
VH,PP,607.0
BC,XF,90.0
XF,BC,90.0
JW,QO,440.0
QO,JW,440.0
ME,SN,844.0
SN,ME,844.0
BB,OO,854.0
OO,BB,854.0
PR,XB,83.0
XB,PR,83.0
EO,TC,74.0
TC,EO,74.0
GD,TD,317.0
TD,GD,317.0
EJ,FW,990.0
FW,EJ,990.0
KJ,ZP,205.0
ZP,KJ,205.0
LT,MK,613.0
MK,LT,613.0
LY,ZQ,925.0
ZQ,LY,925.0
EN,KL,37.0
KL,EN,37.0
AY,DC,512.0
DC,AY,512.0
EQ,UW,454.0
UW,EQ,454.0
LX,QZ,954.0
QZ,LX,954.0
YY,ZL,77.0
ZL,YY,77.0
II,JQ,967.0
JQ,II,967.0
NV,VM,308.0
VM,NV,308.0
LV,OE,552.0
OE,LV,552.0
QD,XL,519.0
XL,QD,519.0
AS,KF,379.0
KF,AS,379.0
RS,XM,480.0
XM,RS,480.0
DF,ZK,600.0
ZK,DF,600.0
UA,ZL,76.0
ZL,UA,76.0
IX,VM,48.0
VM,IX,48.0
EP,MF,602.0
MF,EP,602.0
OD,QD,88.0
QD,OD,88.0
KK,SS,894.0
SS,KK,894.0
H,OT,504.0
OT,H,504.0
AR,BO,736.0
BO,AR,736.0
AW,OU,782.0
OU,AW,782.0
CZ,DN,836.0
DN,CZ,836.0
RU,ZG,283.0
ZG,RU,283.0
EJ,TI,653.0
TI,EJ,653.0
GM,IB,744.0
IB,GM,744.0
IU,KA,705.0
KA,IU,705.0
G,GC,390.0
GC,G,390.0
NW,OP,976.0
OP,NW,976.0
SE,XW,106.0
XW,SE,106.0
QE,QO,752.0
QO,QE,752.0
J,QN,701.0
QN,J,701.0
FB,MP,794.0
MP,FB,794.0
TR,VC,512.0
VC,TR,512.0
IO,RD,634.0
RD,IO,634.0
VZ,XB,411.0
XB,VZ,411.0
KL,LV,155.0
LV,KL,155.0
SG,ZQ,422.0
ZQ,SG,422.0
DA,ZQ,212.0
ZQ,DA,212.0
EV,TS,319.0
TS,EV,319.0
FD,OJ,636.0
OJ,FD,636.0
OI,OZ,904.0
OZ,OI,904.0
BK,QY,230.0
QY,BK,230.0
CU,DT,286.0
DT,CU,286.0
BF,DS,132.0
DS,BF,132.0
IU,XM,998.0
XM,IU,998.0
IP,KG,109.0
KG,IP,109.0
E,QT,112.0
QT,E,112.0
SH,ST,568.0
ST,SH,568.0
BH,FM,311.0
FM,BH,311.0
UF,XG,106.0
XG,UF,106.0
IJ,RJ,268.0
RJ,IJ,268.0
MZ,VH,167.0
VH,MZ,167.0
DG,ED,426.0
ED,DG,426.0
KT,VC,952.0
VC,KT,952.0
Q,RD,744.0
RD,Q,744.0
QL,RE,842.0
RE,QL,842.0
WG,XR,954.0
XR,WG,954.0
HA,XR,271.0
XR,HA,271.0
MS,TT,29.0
TT,MS,29.0
KS,ML,172.0
ML,KS,172.0
JD,MK,757.0
MK,JD,757.0
P,IM,822.0
IM,P,822.0
DC,NA,268.0
NA,DC,268.0
GZ,PA,985.0
PA,GZ,985.0
WI,ZL,740.0
ZL,WI,740.0
KM,TO,377.0
TO,KM,377.0
PC,XM,642.0
XM,PC,642.0
BR,RO,768.0
RO,BR,768.0
FE,WC,840.0
WC,FE,840.0
JB,YC,123.0
YC,JB,123.0
IW,KW,665.0
KW,IW,665.0
OR,RJ,393.0
RJ,OR,393.0
L,RJ,399.0
RJ,L,399.0
BO,GC,256.0
GC,BO,256.0
DD,GD,308.0
GD,DD,308.0
FL,IC,103.0
IC,FL,103.0
GQ,KR,2.0
KR,GQ,2.0
YJ,ZW,361.0
ZW,YJ,361.0
HJ,MP,121.0
MP,HJ,121.0
IY,MQ,548.0
MQ,IY,548.0
AI,XW,845.0
XW,AI,845.0
DS,RZ,692.0
RZ,DS,692.0
OT,TD,681.0
TD,OT,681.0
WD,ZR,589.0
ZR,WD,589.0
LA,VS,205.0
VS,LA,205.0
NI,XR,247.0
XR,NI,247.0
X,RT,779.0
RT,X,779.0
OX,XS,679.0
XS,OX,679.0
DU,TT,79.0
TT,DU,79.0
HH,YH,80.0
YH,HH,80.0
JK,NA,814.0
NA,JK,814.0
AB,WI,307.0
WI,AB,307.0
OM,RP,740.0
RP,OM,740.0
QU,TO,309.0
TO,QU,309.0
TC,VN,99.0
VN,TC,99.0
FR,PP,610.0
PP,FR,610.0
LB,OV,767.0
OV,LB,767.0
BY,SE,685.0
SE,BY,685.0
AD,YC,363.0
YC,AD,363.0
DL,PK,251.0
PK,DL,251.0
JI,YS,26.0
YS,JI,26.0
HI,RK,941.0
RK,HI,941.0
LL,NL,183.0
NL,LL,183.0
JQ,TJ,227.0
TJ,JQ,227.0
ND,XX,139.0
XX,ND,139.0
CA,TY,587.0
TY,CA,587.0
JF,NG,584.0
NG,JF,584.0
LN,PF,447.0
PF,LN,447.0
AP,YM,655.0
YM,AP,655.0
PA,TT,627.0
TT,PA,627.0
BX,IM,387.0
IM,BX,387.0
NP,YH,768.0
YH,NP,768.0
AM,NA,818.0
NA,AM,818.0
JT,PK,638.0
PK,JT,638.0
LI,PL,882.0
PL,LI,882.0
AF,LM,217.0
LM,AF,217.0
CN,NL,652.0
NL,CN,652.0
BS,IS,840.0
IS,BS,840.0
JX,TZ,439.0
TZ,JX,439.0
DW,UP,909.0
UP,DW,909.0
GE,WO,271.0
WO,GE,271.0
PH,UJ,348.0
UJ,PH,348.0
DT,JD,513.0
JD,DT,513.0
GG,YI,932.0
YI,GG,932.0
JO,PQ,834.0
PQ,JO,834.0
FV,SF,578.0
SF,FV,578.0
TG,YD,957.0
YD,TG,957.0
CC,UU,179.0
UU,CC,179.0
EK,WT,575.0
WT,EK,575.0
GS,YS,85.0
YS,GS,85.0
LP,QB,372.0
QB,LP,372.0
RK,WO,33.0
WO,RK,33.0
CE,WO,297.0
WO,CE,297.0
TS,YN,399.0
YN,TS,399.0
EM,YN,149.0
YN,EM,149.0
EH,LH,642.0
LH,EH,642.0
LR,RV,22.0
RV,LR,22.0
AJ,AQ,137.0
AQ,AJ,137.0
NZ,TU,766.0
TU,NZ,766.0
CW,PV,508.0
PV,CW,508.0
GL,XE,735.0
XE,GL,735.0
RM,YI,744.0
YI,RM,744.0
EL,PW,807.0
PW,EL,807.0
IR,WI,52.0
WI,IR,52.0
KG,WJ,223.0
WJ,KG,223.0
NO,NR,698.0
NR,NO,698.0
AQ,PQ,523.0
PQ,AQ,523.0
GN,YY,192.0
YY,GN,192.0
EI,EK,185.0
EK,EI,185.0
GI,LS,463.0
LS,GI,463.0
JV,QG,854.0
QG,JV,854.0
NS,SG,570.0
SG,NS,570.0
CP,OH,336.0
OH,CP,336.0
AP,GZ,648.0
GZ,AP,648.0
RY,YS,994.0
YS,RY,994.0
KS,WT,959.0
WT,KS,959.0
AZ,FP,344.0
FP,AZ,344.0
AE,AW,974.0
AW,AE,974.0
ER,XJ,444.0
XJ,ER,444.0
EZ,SA,928.0
SA,EZ,928.0
IH,JI,714.0
JI,IH,714.0
IM,WO,976.0
WO,IM,976.0
MJ,YO,427.0
YO,MJ,427.0
BG,UP,734.0
UP,BG,734.0
CL,XE,514.0
XE,CL,514.0
TZ,ZD,514.0
ZD,TZ,514.0
CO,EP,85.0
EP,CO,85.0
VM,WJ,670.0
WJ,VM,670.0
KJ,SK,338.0
SK,KJ,338.0
LY,SL,116.0
SL,LY,116.0
AV,OM,97.0
OM,AV,97.0
ES,QM,763.0
QM,ES,763.0
RT,YY,897.0
YY,RT,897.0
IF,VA,320.0
VA,IF,320.0
K,TA,950.0
TA,K,950.0
CX,XO,455.0
XO,CX,455.0
AX,QG,19.0
QG,AX,19.0
GU,ZO,68.0
ZO,GU,68.0
GP,MI,718.0
MI,GP,718.0
EP,FA,959.0
FA,EP,959.0
DA,EZ,840.0
EZ,DA,840.0
KP,YT,114.0
YT,KP,114.0
M,UU,864.0
UU,M,864.0
TU,ZJ,848.0
ZJ,TU,848.0
EJ,MD,423.0
MD,EJ,423.0
QF,SA,155.0
SA,QF,155.0
XP,YO,880.0
YO,XP,880.0
FG,SQ,320.0
SQ,FG,320.0
FB,FK,985.0
FK,FB,985.0
IT,XE,504.0
XE,IT,504.0
LB,ZD,819.0
ZD,LB,819.0
PY,QM,124.0
QM,PY,124.0
EV,MN,501.0
MN,EV,501.0
BL,SK,374.0
SK,BL,374.0
FA,ZT,778.0
ZT,FA,778.0
DA,SL,980.0
SL,DA,980.0
YB,YY,772.0
YY,YB,772.0
IV,YY,615.0
YY,IV,615.0
ON,VA,973.0
VA,ON,973.0
QV,WZ,37.0
WZ,QV,37.0
BP,WZ,495.0
WZ,BP,495.0
SA,ZO,877.0
ZO,SA,877.0
QA,SG,964.0
SG,QA,964.0
EX,OH,760.0
OH,EX,760.0
NC,ZO,234.0
ZO,NC,234.0
B,D,554.0
D,B,554.0
MH,UV,569.0
UV,MH,569.0
